sectperf,prof_pos,sex,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
BES,OTH,T,FTE,AT	: 	: 	3286 	: 	3430 	: 	2711 	: 	3063 	3072 	: 	2485 	: 	2400 	: 	: 	: 	2350 	: 	: 	: 	: 	3200 	: 	: 	: 	3673 	: 	: 	: 	3539 e	3536 	: 	: 	3751 	: 
BES,OTH,T,FTE,BA	: 	111 	181 	158 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,BE	: 	: 	: 	: 	2631 	2443 	3100 	3616 	4676 	4438 	3436 	3292 	3906 	3975 	6521 	6353 	5490 	5320 	4939 	4837 	4672 	4510 	4479 	4301 b	: 	: 	: 	5536 	5912 	5687 	5721 e	: 	: 	: 	: 	: 
BES,OTH,T,FTE,BG	: 	: 	: 	: 	224 	313 	389 	315 	259 	302 	240 	270 	251 	243 	251 	300 	216 	460 	399 	513 	637 	793 	1652 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,CH	: 	: 	: 	10945 	: 	: 	: 	9020 	: 	: 	: 	4320 	: 	: 	: 	4430 	: 	: 	: 	4000 	: 	: 	: 	8000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,CY	: 	18 	18 	14 	17 	21 	24 	28 	31 	46 	34 	30 	29 	24 	20 	24 	23 	15 	: 	: 	: 	: 	: 	7 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,CZ	4703 p	4532 	4694 	5103 	4531 	4038 	3388 	3275 	3180 	2989 	2922 b	1664 	1521 	1557 	1611 	1564 	1880 	1953 	1869 	1953 	1998 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,T,FTE,DE	52384 e	51357 e	47855 	51376 e	50941 	62145 e	61275 	66181 e	63983 	62912 	61372 	66141 	66035 	74140 e	75277 	77810 e	76378 	75043 e	74567 	74046 e	75791 	: 	82861 	: 	94185 b	: 	95181 	: 	97544 	: 	95142 	: 	90662 	: 	92488 	: 
BES,OTH,T,FTE,DK	: 	: 	: 	: 	3972 	4077 	4397 	5673 	3543 b	3654 	3012 	3526 	3148 	3790 b	3380 	: 	3580 	3539 	3330 	3212 e	3093 	: 	3111 	3044 	2977 	2898 	2820 	2655 	2489 	2263 	2038 	2141 	2243 	2259 	2275 	: 
BES,OTH,T,FTE,EE	108 p	97 	147 	87 	129 	115 	103 	116 	276 	275 	204 	158 	107 	97 	92 	50 	118 	50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
